Year,Team,Player,Result
2024,paiN Gaming,dyNquedo,Group Stage
2024,paiN Gaming,TitaN,Group Stage
2024,paiN Gaming,Kuri,Group Stage
2024,MAD Lions KOI,Myrwn,Group Stage
2024,MAD Lions KOI,Elyoya,Group Stage
2024,MAD Lions KOI,Fresskowy,Group Stage
2024,MAD Lions KOI,Supa,Group Stage
2024,MAD Lions KOI,Alvaro,Group Stage
2024,Rainbow7,Summit,Group Stage
2024,Rainbow7,Oddie,Group Stage
2024,Rainbow7,Keine,Group Stage
2024,Rainbow7,Ceo,Group Stage
2024,Rainbow7,Lyonz,Group Stage
2024,100 Thieves,Sniper,Group Stage
2024,100 Thieves,River,Group Stage
2024,100 Thieves,Quid,Group Stage
2024,100 Thieves,Tomo,Group Stage
2024,100 Thieves,Eyla,Group Stage
2024,Vikings Esports,Nanaue,Group Stage
2024,Vikings Esports,Gury,Group Stage
2024,Vikings Esports,Kati,Group Stage
2024,Vikings Esports,Shogun,Group Stage
2024,Vikings Esports,Bie,Group Stage
2024,SoftBank HAWKS gaming,Evi,Group Stage
2024,SoftBank HAWKS gaming,Forest,Group Stage
2024,SoftBank HAWKS gaming,DasheR,Group Stage
2024,SoftBank HAWKS gaming,Marble,Group Stage
2024,SoftBank HAWKS gaming,Vsta,Group Stage
2025,T1,Doran,Champion
2025,T1,Oner,Champion
2025,T1,Faker,Champion
2025,T1,Gumayusi,Champion
2025,T1,Keria,Champion
2025,KT Rolster,PerfecT,Runner-up
2025,KT Rolster,Cuzz,Runner-up
2025,KT Rolster,Bdd,Runner-up
2025,KT Rolster,deokdam,Runner-up
2025,KT Rolster,Peter,Runner-up
2025,Top Esports,369,Semifinals
2025,Top Esports,Kanavi,Semifinals
2025,Top Esports,Creme,Semifinals
2025,Top Esports,JackeyLove,Semifinals
2025,Top Esports,Hang,Semifinals
2025,Gen.G Esports,Kiin,Semifinals
2025,Gen.G Esports,Canyon,Semifinals
2025,Gen.G Esports,Chovy,Semifinals
2025,Gen.G Esports,Ruler,Semifinals
2025,Gen.G Esports,Duro,Semifinals
2025,Anyone's Legend,Flandre,Quarterfinals
2025,Anyone's Legend,Tarzan,Quarterfinals
2025,Anyone's Legend,Shanks,Quarterfinals
2025,Anyone's Legend,Hope,Quarterfinals
2025,Anyone's Legend,Kael,Quarterfinals
2025,G2 Esports,BrokenBlade,Quarterfinals
2025,G2 Esports,SkewMond,Quarterfinals
2025,G2 Esports,Caps,Quarterfinals
2025,G2 Esports,Hans Sama,Quarterfinals
2025,G2 Esports,Labrov,Quarterfinals
2025,Hanwha Life Esports,Zeus,Quarterfinals
2025,Hanwha Life Esports,Peanut,Quarterfinals
2025,Hanwha Life Esports,Zeka,Quarterfinals
2025,Hanwha Life Esports,Viper,Quarterfinals
2025,Hanwha Life Esports,Delight,Quarterfinals
2025,CTBC Flying Oyster,Driver,Quarterfinals
2025,CTBC Flying Oyster,JunJia,Quarterfinals
2025,CTBC Flying Oyster,HongQ,Quarterfinals
2025,CTBC Flying Oyster,Doggo,Quarterfinals
2025,CTBC Flying Oyster,Kaiwing,Quarterfinals
2025,FlyQuest,Bwipo,Group Stage
2025,FlyQuest,Inspired,Group Stage
2025,FlyQuest,Quad,Group Stage
2025,FlyQuest,Massu,Group Stage
2025,FlyQuest,Busio,Group Stage
2025,Movistar KOI,Myrwn,Group Stage
2025,Movistar KOI,Elyoya,Group Stage
2025,Movistar KOI,Jojopyun,Group Stage
2025,Movistar KOI,Supa,Group Stage
2025,Movistar KOI,Alvaro,Group Stage
2025,Bilibili Gaming,Bin,Group Stage
2025,Bilibili Gaming,shad0w,Group Stage
2025,Bilibili Gaming,knight,Group Stage
2025,Bilibili Gaming,Elk,Group Stage
2025,Bilibili Gaming,ON,Group Stage
2025,Secret Whales,Hiro02,Group Stage
2025,Secret Whales,Hizto,Group Stage
2025,Secret Whales,Dire,Group Stage
2025,Secret Whales,Eddie,Group Stage
2025,Secret Whales,Taki,Group Stage
2025,100 Thieves,Dhokla,Group Stage
2025,100 Thieves,River,Group Stage
2025,100 Thieves,Quid,Group Stage
2025,100 Thieves,FBI,Group Stage
2025,100 Thieves,Eyla,Group Stage
2025,Keyd Stars,Boal,Group Stage
2025,Keyd Stars,Disamis,Group Stage
2025,Keyd Stars,Mireu,Group Stage
2025,Keyd Stars,Morttheus,Group Stage
2025,Keyd Stars,Trymbi,Group Stage
2025,Fnatic,Oscarinin,Group Stage
2025,Fnatic,Razork,Group Stage
2025,Fnatic,Poby,Group Stage
2025,Fnatic,Upset,Group Stage
2025,Fnatic,Mikyx,Group Stage
2025,PSG Talon,Azhi,Group Stage
2025,PSG Talon,Karsa,Group Stage
2025,PSG Talon,Maple,Group Stage
2025,PSG Talon,Betty,Group Stage
2025,PSG Talon,Woody,Group Stage
2025,Invictus Gaming,TheShy,Group Stage
2025,Invictus Gaming,Wei,Group Stage
2025,Invictus Gaming,Rookie,Group Stage
2025,Invictus Gaming,GALA,Group Stage
2025,Invictus Gaming,Meiko,Group Stage
